r [R_sun]      e #density [cm**-3] e #density [eV**3]  
0.2765         8.1884e+24          62.6003             
0.277          8.14725e+24         62.2857             
0.2775         8.10092e+24         61.9315             
0.278          8.05453e+24         61.5769             
0.2785         8.01338e+24         61.2623             
0.279          7.96703e+24         60.908              
0.2795         7.92582e+24         60.5929             
0.28           7.87948e+24         60.2386             
0.2805         7.83831e+24         59.9238             
0.281          7.79191e+24         59.5691             
0.2815         7.75073e+24         59.2543             
0.282          7.70951e+24         58.9392             
0.2825         7.66314e+24         58.5847             
0.283          7.62191e+24         58.2695             
0.2835         7.58073e+24         57.9547             
0.284          7.53949e+24         57.6394             
0.2845         7.4983e+24          57.3245             
0.285          7.45706e+24         57.0092             
0.2855         7.41586e+24         56.6943             
0.286          7.37462e+24         56.379              
0.2865         7.33342e+24         56.064              
0.287          7.29217e+24         55.7486             
0.2875         7.25096e+24         55.4336             
0.288          7.2097e+24          55.1182             
0.2885         7.17363e+24         54.8424             
0.289          7.13241e+24         54.5273             
0.2895         7.09115e+24         54.2118             
0.29           7.05507e+24         53.936              
0.2905         7.01384e+24         53.6208             
0.291          6.97258e+24         53.3053             
0.2915         6.93649e+24         53.0295             
0.292          6.90044e+24         52.7539             
0.2925         6.85916e+24         52.4383             
0.293          6.82307e+24         52.1624             
0.2935         6.78179e+24         51.8468             
0.294          6.74569e+24         51.5708             
0.2945         6.70959e+24         51.2948             
0.295          6.6683e+24          50.9792             
0.2955         6.6322e+24          50.7032             
0.296          6.59609e+24         50.4271             
0.2965         6.55998e+24         50.1511             
0.297          6.52387e+24         49.875              
0.2975         6.48776e+24         49.5989             
0.298          6.45164e+24         49.3228             
0.2985         6.41553e+24         49.0467             
0.299          6.37941e+24         48.7706             
0.2995         6.34329e+24         48.4944             
0.3            6.30716e+24         48.2183             
0.3005         6.271e+24           47.9418             
0.301          6.23487e+24         47.6656             
0.3015         6.20393e+24         47.429              
0.302          6.16776e+24         47.1525             
0.3025         6.13163e+24         46.8763             
0.303          6.10068e+24         46.6397             
0.3035         6.06451e+24         46.3632             
0.304          6.02833e+24         46.0866             
0.3045         5.99738e+24         45.85               
0.305          5.9612e+24          45.5734             
0.3055         5.93025e+24         45.3367             
0.306          5.89406e+24         45.0601             
0.3065         5.86307e+24         44.8232             
0.307          5.83211e+24         44.5865             
0.3075         5.79592e+24         44.3098             
0.308          5.76496e+24         44.0731             
0.3085         5.73396e+24         43.8361             
0.309          5.70295e+24         43.5991             
0.3095         5.66676e+24         43.3224             
0.31           5.63575e+24         43.0853             
0.3105         5.60475e+24         42.8483             
0.311          5.57374e+24         42.6112             
0.3115         5.54273e+24         42.3742             
0.312          5.51172e+24         42.1371             
0.3125         5.48071e+24         41.9                
0.313          5.44969e+24         41.6629             
0.3135         5.41868e+24         41.4258             
0.314          5.38766e+24         41.1887             
0.3145         5.35664e+24         40.9515             
0.315          5.32559e+24         40.7141             
0.3155         5.29976e+24         40.5167             
0.316          5.26874e+24         40.2795             
0.3165         5.23772e+24         40.0423             
0.317          5.20669e+24         39.8051             
0.3175         5.17875e+24         39.5915             
0.318          5.1498e+24          39.3702             
0.3185         5.12081e+24         39.1486             
0.319          5.09186e+24         38.9273             
0.3195         5.06288e+24         38.7057             
0.32           5.03444e+24         38.4883             
0.3205         5.006e+24           38.2709             
0.321          4.97805e+24         38.0572             
0.3215         4.94961e+24         37.8398             
0.322          4.92166e+24         37.6261             
0.3225         4.89423e+24         37.4164             
0.323          4.8663e+24          37.2029             
0.3235         4.83886e+24         36.9931             
0.324          4.81143e+24         36.7834             
0.3245         4.78454e+24         36.5778             
0.325          4.75762e+24         36.372              
0.3255         4.7307e+24          36.1662             
0.326          4.7038e+24          35.9606             
0.3265         4.6774e+24          35.7587             
0.327          4.651e+24           35.5569             
0.3275         4.62459e+24         35.355              
0.328          4.59819e+24         35.1531             
0.3285         4.57233e+24         34.9554             
0.329          4.54644e+24         34.7575             
0.3295         4.52107e+24         34.5636             
0.33           4.49518e+24         34.3656             
0.3305         4.46981e+24         34.1717             
0.331          4.44444e+24         33.9777             
0.3315         4.41958e+24         33.7877             
0.332          4.39473e+24         33.5977             
0.3325         4.36987e+24         33.4077             
0.333          4.34501e+24         33.2176             
0.3335         4.32016e+24         33.0276             
0.334          4.29582e+24         32.8415             
0.3345         4.27145e+24         32.6553             
0.335          4.24763e+24         32.4732             
0.3355         4.22329e+24         32.2871             
0.336          4.19947e+24         32.1049             
0.3365         4.17565e+24         31.9228             
0.337          4.15234e+24         31.7446             
0.3375         4.12849e+24         31.5623             
0.338          4.10519e+24         31.3841             
0.3385         4.08188e+24         31.206              
0.339          4.05909e+24         31.0317             
0.3395         4.03628e+24         30.8573             
0.34           4.01297e+24         30.6791             
